0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	2	4	8	A	B	A	8	4	2	0	0	0	0	0	0	0
0	0	0	0	0	0	1	5	D	1A	2B	3B	41	3B	2B	1A	D	5	1	0	0	0	0	0
0	0	0	0	0	2	8	18	3B	77	C4	108	124	108	C4	77	3B	18	8	2	0	0	0	0
0	0	0	0	1	8	1D	58	D8	1B4	2D0	3CC	432	3CC	2D0	1B4	D8	58	1D	8	1	0	0	0
0	0	0	0	5	18	58	108	28B	520	873	B68	C9B	B68	873	520	28B	108	58	18	5	0	0	0
0	0	0	2	D	3B	D8	28B	642	C9B	14C9	1C0F	1F02	1C0F	14C9	C9B	642	28B	D8	3B	D	2	0	0
0	0	0	4	1A	77	1B4	520	C9B	1963	29DC	3881	3E72	3881	29DC	1963	C9B	520	1B4	77	1A	4	0	0
0	0	1	8	2B	C4	2D0	873	14C9	29DC	4504	5D29	66F6	5D29	4504	29DC	14C9	873	2D0	C4	2B	8	1	0
0	0	1	A	3B	108	3CC	B68	1C0F	3881	5D29	7DC1	8AFB	7DC1	5D29	3881	1C0F	B68	3CC	108	3B	A	1	0
0	0	1	B	41	124	432	C9B	1F02	3E72	66F6	8AFB	9999	8AFB	66F6	3E72	1F02	C9B	432	124	41	B	1	0
0	0	1	A	3B	108	3CC	B68	1C0F	3881	5D29	7DC1	8AFB	7DC1	5D29	3881	1C0F	B68	3CC	108	3B	A	1	0
0	0	1	8	2B	C4	2D0	873	14C9	29DC	4504	5D29	66F6	5D29	4504	29DC	14C9	873	2D0	C4	2B	8	1	0
0	0	0	4	1A	77	1B4	520	C9B	1963	29DC	3881	3E72	3881	29DC	1963	C9B	520	1B4	77	1A	4	0	0
0	0	0	2	D	3B	D8	28B	642	C9B	14C9	1C0F	1F02	1C0F	14C9	C9B	642	28B	D8	3B	D	2	0	0
0	0	0	0	5	18	58	108	28B	520	873	B68	C9B	B68	873	520	28B	108	58	18	5	0	0	0
0	0	0	0	1	8	1D	58	D8	1B4	2D0	3CC	432	3CC	2D0	1B4	D8	58	1D	8	1	0	0	0
0	0	0	0	0	2	8	18	3B	77	C4	108	124	108	C4	77	3B	18	8	2	0	0	0	0
0	0	0	0	0	0	1	5	D	1A	2B	3B	41	3B	2B	1A	D	5	1	0	0	0	0	0
0	0	0	0	0	0	0	0	2	4	8	A	B	A	8	4	2	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
